ShipmentID,Date,Origin,Destination,Distance_km,Weight_kg,ShippingMode,EstimatedTime_days,DeliveryTime_days,Delay_hours,FuelCost_USD,TotalCost_USD,PackageValue_USD,CustomerRating,WeatherDelay,TrafficDelay,LostOrDamaged
FDX001638,2024-02-13,San Francisco,Mexico City,2043,0.33,Ground,3,3.0,0,2.27,53.33,39.44,4.0,No,No,Yes
FDX001986,2024-02-10,Seattle,São Paulo,1559,4.9399999999999995,Ground,2,2.0,0,1.55,50.71,31.64,3.0,No,No,No
FDX001751,2025-04-16,Los Angeles,Berlin,3660,29.46,Ground,5,3.0,0,4.45,150.47,14.41,4.0,No,No,No
FDX000477,2023-12-27,Denver,São Paulo,1732,6.96,Ground,3,2.0,0,1.78,58.9,67.41,5.0,No,No,No
FDX000887,2023-11-25,Los Angeles,Mexico City,3582,20.43,Air,2,3.0,24,3.43,127.79,47.22,4.0,No,No,No
FDX001412,2023-05-20,Chicago,Singapore,1698,29.96,Air,1,1.0,3,2.94,107.7,10.0,4.0,No,No,No
FDX000489,2023-01-31,New York,Mexico City,3672,12.94,Air,2,1.0,0,7.53,126.91,51.91,3.0,No,No,No
FDX001538,2024-03-22,Seattle,Toronto,2421,33.51,Ground,4,4.0,2,2.06,126.62,38.31,3.0,No,Yes,No
FDX000317,2023-02-01,Houston,Mumbai,3132,22.25,Ground,5,4.0,0,3.49,122.61,67.28,4.0,No,No,No
FDX001874,2024-05-18,Seattle,London,3067,6.71,Air,2,4.0,52,4.01,91.79,66.5,4.0,No,Yes,No
FDX000929,2024-05-16,Miami,Tokyo,3776,2.12,Express,2,4.0,52,4.38,297.9,30.57,2.0,No,No,No
FDX000459,2024-07-21,New York,Toronto,5475,9.91,Air,3,3.0,0,10.77,166.63,11.95,4.0,No,Yes,No
FDX001040,2023-06-24,Miami,Mumbai,7406,19.62,Ground,11,12.0,24,5.74,209.58,27.76,4.0,No,No,No
FDX000113,2023-03-15,Atlanta,London,4469,44.57,Ground,6,6.0,9,4.33,196.51,21.75,4.0,Yes,No,No
FDX000982,2026-10-27,Los Angeles,Berlin,2178,1.74,Air,2,1.0,0,2.32,59.0,20.84,4.0,No,No,No
FDX000838,2023-08-19,Denver,Tokyo,2783,29.05,Air,1,1.0,10,5.02,133.82,65.6,5.0,Yes,No,No
FDX000412,2023-05-06,Los Angeles,Tokyo,50,50.99,Air,1,1.0,0,0.1,108.28,29.79,4.0,No,No,No
FDX001768,2024-01-05,Denver,London,3938,6.21,Air,1,1.0,11,5.75,113.43,40.0,5.0,No,No,No
FDX000559,2023-07-21,Houston,London,3708,7.699999999999999,Air,1,1.0,0,7.49,117.03,26.1,5.0,No,No,No
FDX000830,2024-06-27,Los Angeles,Mexico City,2498,37.25,Air,2,2.0,0,4.74,143.68,48.67,5.0,No,Yes,No
FDX001988,2023-04-21,San Francisco,Berlin,1994,6.81,Ground,2,1.0,0,2.38,65.64,34.44,4.0,No,No,No
FDX000005,2023-01-14,Houston,Mumbai,1789,19.770000000000003,Air,1,1.0,4,2.25,87.07,10.0,4.0,No,No,No
FDX001716,2023-01-13,Chicago,Singapore,2478,14.379999999999999,Ground,3,5.0,48,1.71,88.45,49.18,5.0,No,No,No
FDX001399,2023-01-29,Dallas,São Paulo,4383,1.9300000000000002,Ground,7,7.0,11,3.26,106.3,136.08,5.0,No,No,No
FDX001498,2024-02-10,Dallas,Berlin,2512,11.84,Air,2,1.0,0,5.17,94.43,100.07,4.0,No,No,No
FDX001291,2024-07-08,New York,London,2845,26.93,Air,1,3.0,48,4.89,130.43,19.72,2.0,No,No,No
FDX001900,2024-03-05,New York,Mexico City,3189,13.049999999999999,Air,2,1.0,0,5.15,110.33,33.27,5.0,No,No,No
FDX000281,2024-11-26,New York,Berlin,4905,7.09,Ground,7,7.0,0,5.02,132.34,155.1,4.0,No,No,No
FDX001345,2023-01-29,Miami,London,4308,1.7200000000000002,Express,2,1.0,0,6.17,313.11,82.42,4.0,No,No,No
FDX000652,2023-08-08,Miami,Sydney,3272,14.69,Air,1,1.0,15,6.13,118.21,25.84,4.0,No,No,No
FDX000138,2024-09-19,Miami,Sydney,3172,46.64,Express,2,5.0,72,2.87,370.33,19.04,4.0,No,No,No
FDX000691,2023-06-17,San Francisco,Dubai,1647,32.800000000000004,Express,1,1.0,8,3.07,312.75,22.34,5.0,No,No,No
FDX001359,2023-11-06,Houston,Mumbai,2897,50.93,Air,1,1.0,0,4.6,178.6,65.18,3.0,No,No,No
FDX001798,2023-09-02,Chicago,Tokyo,4729,7.08,Ground,6,4.0,0,5.02,128.8,128.32,4.0,No,No,No
FDX001629,2023-05-17,Chicago,London,2270,1.32,Air,1,3.0,56,4.1,65.34,49.33,5.0,No,No,No
FDX001418,2024-08-21,San Francisco,London,2574,15.879999999999999,Air,2,1.0,0,3.85,99.79,34.68,4.0,No,No,No
FDX000356,2023-08-25,Chicago,Berlin,1311,1.1900000000000002,Ground,2,1.0,0,1.56,38.28,10.0,4.0,No,Yes,No
FDX001746,2023-08-16,New York,Sydney,4455,1.33,Ground,6,5.0,0,5.07,111.97,87.96,5.0,No,No,No
FDX001469,2023-01-13,Atlanta,São Paulo,2787,28.040000000000003,Air,2,1.0,0,3.54,127.44,45.17,4.0,No,No,No
FDX000448,2023-01-12,Atlanta,Mumbai,1552,16.96,Express,1,1.0,5,2.26,276.74,44.04,5.0,No,No,No
FDX001096,2023-05-30,Seattle,Toronto,3179,11.85,Air,1,1.0,2,4.52,105.84,76.58,4.0,No,No,No
FDX001126,2024-07-27,Dallas,Toronto,3074,29.42,Air,1,1.0,14,6.23,144.01,81.88,3.0,No,Yes,No
FDX001465,2023-09-19,Dallas,Tokyo,2476,28.310000000000002,Ground,4,4.0,0,1.66,116.12,106.58,4.0,No,Yes,No
FDX001222,2023-04-26,Seattle,São Paulo,3311,17.580000000000002,Ground,5,4.0,0,2.05,112.53,14.24,4.0,No,No,No
FDX001331,2024-01-15,Dallas,Singapore,1335,1.24,Air,1,3.0,48,2.5,41.68,116.23,4.0,No,No,Yes
FDX001868,2023-03-28,Dallas,Mexico City,1093,7.59,Ground,2,2.0,15,1.04,45.16,27.4,3.0,No,No,No
FDX000306,2023-07-14,Miami,Mexico City,5113,41.120000000000005,Air,3,3.0,18,8.41,214.73,43.57,5.0,No,No,No
FDX000446,2023-02-08,Atlanta,Mexico City,1615,38.74,Express,1,3.0,48,2.7,322.88,27.71,5.0,No,No,No
FDX001562,2024-04-02,Los Angeles,São Paulo,4611,1.4400000000000002,Air,2,2.0,0,7.91,123.83,234.34,4.0,No,Yes,No
FDX001168,2023-10-28,Seattle,Mexico City,1617,33.76,Ground,3,6.0,84,1.27,108.67,87.53,4.0,No,No,No
FDX001773,2023-04-06,Denver,Tokyo,1090,25.82,Air,1,4.0,72,1.41,82.67,38.6,5.0,No,No,No
FDX001320,2024-01-13,Seattle,Toronto,3129,49.35,Air,2,2.0,10,5.3,182.18,132.22,4.0,No,No,No
FDX001438,2025-09-01,Seattle,Toronto,1527,19.14,Air,1,1.0,0,1.89,79.49,46.41,3.0,No,No,No
FDX000682,2025-06-20,Houston,Dubai,2052,12.81,Express,1,1.0,3,3.19,281.23,24.49,4.0,No,Yes,No
FDX001666,2024-01-05,San Francisco,Dubai,4892,18.66,Air,2,1.0,0,8.75,166.41,98.78,5.0,No,No,No
FDX001729,2023-04-15,New York,Singapore,4068,33.04,Air,3,4.0,32,4.09,164.71,20.69,4.0,No,No,No
FDX001196,2023-02-27,Los Angeles,Dubai,5033,21.520000000000003,Express,3,6.0,72,5.56,365.38,171.22,5.0,No,No,No
FDX001496,2023-04-03,San Francisco,Sydney,3037,18.57,Air,1,3.0,48,4.93,117.67,14.46,4.0,No,No,No
FDX000237,2023-05-28,Dallas,Toronto,2669,30.91,Ground,5,5.0,1,1.89,125.87,19.04,5.0,Yes,No,No
FDX000504,2023-03-22,Miami,Singapore,1783,9.74,Air,1,1.0,16,2.14,66.56,20.82,5.0,No,No,No
FDX000553,2023-08-31,Los Angeles,São Paulo,3270,43.68,Ground,4,1.0,0,1.9,163.46,62.68,3.0,No,No,No
FDX000787,2023-03-17,Los Angeles,Mumbai,1647,14.91,Express,1,1.0,0,2.4,274.96,43.22,3.0,No,No,No
FDX001251,2025-02-03,Los Angeles,Mexico City,2327,5.71,Express,1,1.0,0,2.29,269.83,53.85,4.0,No,Yes,No
FDX000295,2024-04-28,New York,Mumbai,5557,26.14,Express,3,4.0,24,8.88,395.06,93.64,3.0,No,No,No
FDX000102,2023-08-06,Dallas,Berlin,3543,53.870000000000005,Air,2,2.0,0,3.88,195.24,45.51,3.0,No,No,No
FDX000333,2023-04-23,Los Angeles,Mexico City,4235,29.55,Ground,7,8.0,25,2.95,157.65,69.17,4.0,Yes,No,No
FDX001436,2023-06-14,San Francisco,Berlin,2482,9.17,Air,1,1.0,0,4.9,87.68,11.32,4.0,No,No,No
FDX000644,2023-09-23,New York,Berlin,6277,3.69,Air,3,5.0,48,6.01,155.95,10.0,2.0,No,Yes,No
FDX001796,2024-12-06,San Francisco,Toronto,2063,53.29,Air,1,1.0,1,4.18,165.38,399.66,3.0,No,No,No
FDX001893,2023-02-15,New York,Tokyo,4631,59.74,Air,3,2.0,0,5.31,233.03,23.52,3.0,No,No,No
FDX000888,2023-07-18,Seattle,São Paulo,4171,8.35,Air,3,3.0,0,4.53,118.71,13.95,4.0,No,No,No
FDX001356,2023-06-04,Los Angeles,London,3079,23.66,Air,1,4.0,72,4.0,125.9,11.75,5.0,No,Yes,No
FDX001135,2023-05-25,Denver,London,2705,21.17,Air,1,1.0,5,3.32,111.4,68.81,4.0,No,Yes,No
FDX000581,2025-01-04,Dallas,Sydney,4799,1.1300000000000001,Air,3,3.0,0,5.46,119.62,221.18,5.0,No,No,No
FDX000828,2023-05-17,Miami,Toronto,4676,23.3,Air,3,4.0,30,7.93,168.91,158.94,4.0,No,No,No
FDX000530,2023-04-12,Miami,Singapore,5936,49.33,Air,3,4.0,24,6.26,241.16,73.11,1.0,No,No,No
FDX001106,2023-12-28,Atlanta,London,2896,13.12,Ground,5,4.0,0,2.31,96.09,10.0,4.0,No,No,No
FDX000392,2023-01-04,Dallas,Mumbai,1036,9.969999999999999,Air,1,1.0,4,1.79,51.03,16.14,5.0,No,Yes,No
FDX000084,2026-04-06,San Francisco,Mexico City,3004,15.299999999999999,Ground,3,4.0,33,2.36,102.76,42.32,4.0,No,Yes,No
FDX000634,2023-01-19,Chicago,Berlin,1368,3.14,Air,1,4.0,108,2.06,44.82,129.21,5.0,No,No,No
FDX001838,2023-01-17,Houston,Tokyo,2798,17.700000000000003,Ground,5,5.0,0,2.72,104.52,65.28,4.0,No,No,No
FDX001389,2023-11-01,Atlanta,Mumbai,3826,3.91,Air,1,1.0,0,7.59,112.11,385.36,4.0,No,No,No
FDX000485,2023-02-16,Miami,Mexico City,5373,25.37,Ground,8,9.0,25,6.77,183.51,22.57,4.0,No,Yes,No
FDX001982,2023-05-27,Chicago,London,4215,11.469999999999999,Ground,5,4.0,0,5.11,127.57,24.44,4.0,Yes,No,No
FDX001095,2023-08-21,Denver,Mumbai,3261,4.569999999999999,Air,2,2.0,10,4.21,91.99,49.74,4.0,No,No,No
FDX001221,2023-08-20,Seattle,São Paulo,903,32.96,Air,1,3.0,48,1.59,93.75,16.21,4.0,No,No,No
FDX000650,2023-08-05,Atlanta,São Paulo,3734,18.21,Ground,5,4.0,0,2.92,124.86,78.09,4.0,No,No,No
FDX001672,2023-02-12,San Francisco,London,2420,38.6,Express,1,2.0,24,4.95,345.45,180.3,4.0,No,No,No
FDX000857,2023-02-27,San Francisco,Singapore,2542,26.900000000000002,Express,1,1.0,11,4.65,323.59,88.13,4.0,No,No,No
FDX001456,2023-01-02,Dallas,Mumbai,2038,7.25,Air,2,1.0,0,4.15,72.71,48.17,4.0,No,No,No
FDX001082,2023-07-21,Chicago,Berlin,4535,20.03,Air,2,1.0,0,4.46,149.14,294.12,4.0,Yes,No,No
FDX000527,2023-02-11,San Francisco,Tokyo,3351,6.55,Ground,6,8.0,68,2.22,91.78,58.92,4.0,Yes,No,No
FDX001079,2023-07-11,Chicago,London,2257,20.490000000000002,Ground,3,4.0,24,1.53,95.71,75.52,5.0,No,Yes,No
FDX001091,2025-08-17,Miami,Mexico City,4012,7.04,Ground,7,2.0,0,5.05,114.47,161.11,5.0,No,No,No
FDX001899,2023-04-15,New York,São Paulo,5699,7.01,Ground,9,8.0,0,6.16,151.48,26.22,3.0,Yes,No,No
FDX000564,2023-06-07,New York,Sydney,6269,25.700000000000003,Air,4,8.0,110,10.56,213.46,261.09,4.0,No,No,No
FDX001391,2024-06-24,Los Angeles,São Paulo,3667,1.4000000000000001,Air,1,1.0,4,3.56,91.82,63.57,5.0,No,Yes,No
FDX000046,2023-03-03,Atlanta,Singapore,2734,1.1500000000000001,Air,2,2.0,0,2.95,70.83,45.83,3.0,No,No,No
FDX000985,2023-02-15,New York,London,2768,4.56,Express,1,1.0,0,4.26,282.26,30.13,4.0,No,No,No
FDX000793,2023-06-29,Houston,Singapore,3506,14.84,Ground,4,4.0,0,3.38,114.94,35.31,5.0,No,No,No
FDX000146,2023-01-17,Miami,Sydney,4604,19.35,Ground,6,5.0,0,3.61,146.61,74.31,4.0,No,No,No
FDX000124,2023-01-20,Houston,Tokyo,2151,15.31,Ground,4,5.0,24,2.28,85.48,61.73,5.0,No,No,No
FDX000371,2023-05-06,Atlanta,São Paulo,2295,31.990000000000002,Air,2,2.0,0,4.58,128.62,126.09,3.0,No,No,No
FDX001115,2023-07-10,New York,Sydney,5739,5.779999999999999,Ground,7,7.0,0,4.2,143.94,44.09,4.0,No,No,No
FDX001706,2023-04-19,Houston,Sydney,2579,1.83,Air,2,1.0,0,3.0,69.24,133.18,3.0,No,No,No
FDX001753,2023-02-06,San Francisco,Mumbai,4474,2.4,Air,2,2.0,3,7.33,121.27,12.12,4.0,No,No,No
FDX000232,2023-06-10,Houston,Mexico City,4155,23.55,Air,2,6.0,99,4.96,150.08,62.2,2.0,No,No,No
FDX001748,2024-09-06,New York,São Paulo,6269,17.630000000000003,Air,4,5.0,24,9.66,194.62,10.0,5.0,No,No,No
FDX001645,2023-12-23,Houston,Sydney,4313,34.76,Ground,7,8.0,24,4.74,175.0,57.05,4.0,No,Yes,No
FDX000482,2023-04-15,Seattle,London,4469,43.57,Air,2,1.0,0,5.33,197.51,92.69,4.0,No,No,No
FDX001282,2025-10-15,Miami,Tokyo,5603,8.28,Air,3,3.0,0,10.48,165.06,10.0,5.0,No,No,No
FDX001594,2023-06-01,Chicago,Mexico City,4985,11.459999999999999,Ground,6,7.0,24,4.73,141.81,37.74,4.0,No,No,No
FDX001153,2023-06-21,San Francisco,Berlin,5447,30.92,Express,3,1.0,0,5.46,392.16,98.96,4.0,No,No,No
FDX000615,2024-03-24,Atlanta,São Paulo,3216,40.46,Air,2,2.0,0,4.99,165.21,10.0,4.0,No,No,No
FDX001194,2023-02-18,Chicago,São Paulo,3990,34.2,Air,2,1.0,0,6.49,172.67,25.8,4.0,No,No,No
FDX001400,2023-01-10,Denver,Mumbai,1182,47.49,Ground,2,2.0,0,1.19,127.19,28.39,5.0,Yes,No,No
FDX001280,2023-04-05,Atlanta,Dubai,2571,7.1,Air,2,2.0,2,4.36,83.7,10.0,4.0,No,No,No
FDX000944,2025-02-22,San Francisco,Sydney,4038,11.299999999999999,Air,2,1.0,0,4.21,120.99,88.38,5.0,No,No,Yes
FDX000233,2023-03-22,Seattle,Mexico City,4225,53.870000000000005,Air,3,4.0,27,4.84,211.76,68.55,4.0,No,No,No
FDX001333,2023-10-15,Houston,Mexico City,4495,11.2,Air,3,2.0,0,5.94,135.12,45.38,4.0,No,Yes,No
FDX001951,2023-03-09,Denver,São Paulo,2480,8.58,Ground,4,6.0,63,2.75,80.01,54.41,5.0,Yes,Yes,No
FDX001192,2024-01-02,New York,São Paulo,5089,6.739999999999999,Air,3,3.0,0,8.25,145.01,10.0,5.0,No,No,No
FDX000992,2023-04-11,Chicago,Mexico City,1715,13.469999999999999,Air,1,1.0,10,2.23,72.93,81.13,4.0,No,No,No
FDX000628,2023-04-02,Seattle,Mexico City,1824,30.3,Express,1,2.0,37,2.38,309.22,19.56,3.0,No,No,No
FDX001756,2024-05-12,Denver,Sydney,3185,7.4399999999999995,Air,2,2.0,6,6.32,102.54,57.02,4.0,No,No,No
FDX001634,2023-09-16,Miami,Berlin,4776,16.950000000000003,Air,2,2.0,21,7.8,157.82,20.03,4.0,No,No,No
FDX000952,2023-12-03,Denver,Toronto,2464,7.93,Air,2,2.0,7,2.76,78.42,37.01,4.0,No,No,No
FDX000200,2024-11-14,New York,Sydney,2631,4.869999999999999,Express,1,1.0,4,4.38,280.5,55.0,4.0,No,No,No
FDX001991,2023-12-04,Seattle,Mexico City,4273,17.44,Express,2,3.0,42,6.08,343.58,25.99,5.0,No,No,No
FDX001180,2024-06-27,Houston,Mexico City,3154,57.22,Ground,4,3.0,0,2.6,190.32,199.55,4.0,No,No,No
FDX000675,2023-04-23,New York,Tokyo,4185,9.709999999999999,Ground,5,6.0,24,4.19,120.69,23.87,5.0,Yes,No,Yes
FDX001931,2023-08-29,Seattle,Berlin,3114,9.709999999999999,Ground,5,4.0,0,1.98,92.64,12.42,4.0,No,No,No
FDX001224,2024-01-16,Atlanta,Berlin,6140,14.969999999999999,Ground,8,6.0,0,7.43,180.03,62.49,4.0,No,No,No
FDX001752,2023-02-13,San Francisco,Toronto,774,21.17,Express,1,2.0,38,0.77,265.13,20.38,5.0,No,No,No
FDX000875,2026-12-20,Chicago,Toronto,4348,25.64,Ground,5,2.0,0,5.45,159.59,10.86,4.0,No,No,No
FDX000827,2024-06-01,Los Angeles,London,1172,1.4700000000000002,Express,1,1.0,15,1.32,235.34,45.33,4.0,No,Yes,No
FDX000557,2023-10-13,Seattle,Tokyo,2756,3.5500000000000003,Ground,3,3.0,0,2.77,75.53,27.41,5.0,No,No,No
FDX000986,2023-05-04,Los Angeles,Toronto,3567,18.55,Air,1,1.0,0,4.33,126.43,16.64,4.0,No,Yes,No
FDX001549,2023-05-13,Denver,Dubai,6187,15.0,Express,4,4.0,0,11.93,394.53,50.07,4.0,No,No,No
FDX000697,2023-02-17,Chicago,London,2554,11.78,Ground,5,4.0,0,2.69,87.71,21.25,5.0,No,No,No
FDX001144,2023-12-16,New York,London,2106,3.38,Air,2,2.0,0,3.85,65.43,305.01,5.0,No,No,No
FDX001478,2023-06-07,Atlanta,Tokyo,6303,2.27,Ground,8,6.0,0,6.09,153.87,27.61,4.0,No,No,No
FDX000918,2023-07-15,San Francisco,Tokyo,4754,1.56,Ground,7,5.0,0,5.31,119.13,21.64,4.0,No,No,No
FDX001336,2024-03-05,Chicago,Singapore,1738,23.950000000000003,Ground,4,3.0,0,1.93,93.45,11.08,5.0,No,No,No
FDX001254,2023-03-20,Houston,Sydney,2808,0.83,Air,2,2.0,1,3.58,73.56,35.59,5.0,No,No,No
FDX001726,2023-03-19,Denver,Singapore,2150,4.8,Air,2,3.0,24,2.23,64.29,42.25,4.0,No,No,No
FDX000269,2024-02-29,Atlanta,Dubai,3762,10.45,Air,2,3.0,24,4.73,115.33,34.92,5.0,No,No,No
FDX000808,2023-07-03,San Francisco,Mexico City,3471,19.66,Air,2,3.0,24,4.3,126.64,152.38,4.0,No,Yes,No
FDX000240,2023-05-29,Houston,Berlin,4807,2.33,Ground,6,9.0,72,3.14,115.22,122.41,4.0,No,No,No
FDX001248,2023-09-29,Dallas,Mumbai,2516,20.64,Air,2,3.0,24,4.88,111.24,18.05,5.0,No,No,No
FDX001547,2024-10-10,Denver,Dubai,4296,36.99,Air,2,1.0,0,8.42,190.16,47.92,3.0,No,No,No
FDX001073,2023-10-05,Seattle,Dubai,2999,12.78,Air,2,2.0,7,4.0,102.54,26.46,4.0,No,No,No
FDX001643,2023-04-13,Denver,Toronto,1065,36.63,Ground,2,3.0,52,0.78,101.9,22.79,2.0,No,No,No
FDX001439,2025-06-04,New York,Toronto,4771,13.92,Express,3,3.0,0,5.55,344.91,49.42,3.0,No,Yes,No
FDX001855,2023-07-19,Denver,São Paulo,4862,17.020000000000003,Air,3,1.0,0,9.73,165.47,34.37,5.0,No,No,No
FDX000285,2023-03-27,Seattle,Dubai,1835,40.35,Ground,3,3.0,0,2.19,128.97,94.08,2.0,No,No,No
FDX000576,2023-03-26,Atlanta,London,3133,15.66,Air,2,1.0,0,4.54,112.6,42.38,5.0,No,No,No
FDX001210,2024-12-01,Houston,Mexico City,1807,8.379999999999999,Air,1,1.0,0,3.57,68.61,10.0,1.0,No,No,No
FDX000427,2023-02-08,Miami,London,5446,17.360000000000003,Ground,6,8.0,48,5.97,166.55,104.87,5.0,No,No,No
FDX000666,2023-08-05,Denver,São Paulo,4043,20.810000000000002,Express,2,1.0,0,6.68,347.52,414.48,5.0,No,No,No
FDX000493,2023-03-19,Denver,Tokyo,4310,17.630000000000003,Air,3,5.0,48,8.09,150.73,19.95,5.0,No,No,No
FDX001972,2024-05-28,Houston,Dubai,50,18.25,Air,1,4.0,72,0.06,42.68,250.23,4.0,No,No,No
FDX001555,2024-08-16,Los Angeles,Mumbai,2224,32.620000000000005,Air,1,1.0,0,2.79,123.09,129.66,4.0,No,No,No
FDX000242,2023-08-28,Chicago,Mumbai,511,55.86,Ground,2,3.0,29,0.36,128.02,15.63,4.0,No,No,No
FDX001114,2024-02-16,Dallas,Sydney,2149,35.230000000000004,Air,2,4.0,61,4.36,131.52,23.3,4.0,No,No,No
FDX000881,2023-02-28,San Francisco,London,4088,22.44,Air,3,3.0,0,5.35,147.69,26.5,5.0,No,No,No
FDX000460,2023-01-15,Los Angeles,Sydney,1654,30.900000000000002,Air,1,2.0,24,3.07,109.09,95.74,4.0,No,No,No
FDX001987,2023-09-22,Dallas,Mumbai,3089,8.5,Ground,4,3.0,0,3.4,93.98,29.51,4.0,No,No,No
FDX000601,2023-07-28,San Francisco,Tokyo,2452,7.529999999999999,Air,2,2.0,9,5.08,84.34,106.32,3.0,No,No,No
FDX001276,2024-05-18,New York,Mumbai,4826,33.84,Air,2,2.0,0,6.89,189.87,30.48,4.0,No,No,No
FDX001596,2023-05-19,Houston,Mexico City,2660,16.53,Express,1,1.0,0,3.24,300.98,20.91,4.0,No,No,No
FDX000053,2023-06-07,Seattle,Berlin,2389,12.94,Express,1,1.0,5,4.52,292.22,22.73,4.0,No,No,No
FDX001309,2023-02-01,Los Angeles,Dubai,1878,40.690000000000005,Ground,2,1.0,0,1.51,128.47,26.95,4.0,No,No,No
FDX001093,2024-04-28,Chicago,Dubai,4663,35.36,Ground,5,4.0,0,4.59,182.75,35.63,1.0,No,No,No
FDX000158,2023-03-21,Houston,Tokyo,4732,17.740000000000002,Express,3,2.0,0,9.17,362.63,10.0,4.0,Yes,No,No
FDX001047,2024-03-27,Seattle,London,4200,11.73,Air,2,1.0,0,7.98,136.4,45.91,4.0,No,Yes,No
FDX001637,2024-11-30,Atlanta,Sydney,50,11.54,Ground,2,2.0,2,0.04,29.2,243.75,4.0,No,No,No
FDX000066,2024-02-04,Houston,Dubai,1919,,Ground,2,,0,,86.35,10.0,,No,No,No
FDX001956,2023-11-18,Atlanta,Mumbai,5821,15.82,Air,2,1.0,0,11.85,188.61,41.02,3.0,No,No,No
FDX000991,2023-03-16,Denver,London,2944,15.74,Air,1,1.0,3,3.17,104.87,51.69,5.0,No,No,No
FDX001633,2023-08-27,San Francisco,Dubai,2020,5.08,Air,2,4.0,48,3.55,66.21,235.15,5.0,No,Yes,No
FDX000143,2024-07-28,San Francisco,Mumbai,2299,14.12,Air,2,4.0,48,2.29,86.09,39.25,4.0,No,No,No
FDX000771,2025-06-07,Atlanta,Dubai,4875,11.61,Air,2,1.0,0,10.0,155.72,94.59,5.0,No,No,No
FDX001801,2025-06-21,San Francisco,Mumbai,2218,11.2,Air,2,2.0,15,3.65,82.71,437.51,5.0,No,No,No
FDX000453,2023-03-06,Atlanta,Mumbai,794,24.380000000000003,Air,1,5.0,97,0.79,72.01,16.78,2.0,No,No,No
FDX000997,2023-02-27,Dallas,Toronto,3219,10.59,Air,2,2.0,0,5.41,106.79,78.92,4.0,No,Yes,No
FDX001178,2023-12-29,Miami,Singapore,4187,27.05,Ground,5,5.0,0,4.23,155.53,78.49,5.0,No,No,No
FDX000646,2023-01-12,Dallas,London,2847,13.26,Express,1,1.0,8,4.49,301.93,57.47,3.0,No,No,No
FDX000722,2023-10-30,Dallas,Mumbai,3010,5.31,Air,1,2.0,24,4.21,88.45,87.3,1.0,No,No,No
FDX001133,2023-04-11,Atlanta,Tokyo,3217,20.380000000000003,Air,2,2.0,10,4.8,124.5,67.33,4.0,No,No,No
FDX001625,2023-04-08,Chicago,Toronto,3493,40.33,Express,2,2.0,0,6.39,374.69,40.37,4.0,No,No,No
FDX000264,2023-12-23,Houston,Mumbai,3103,13.17,Air,1,2.0,28,4.9,108.1,13.19,5.0,No,No,No
FDX000366,2023-04-24,Los Angeles,Tokyo,1291,6.569999999999999,Air,1,2.0,24,1.6,48.76,630.21,4.0,No,No,No
